ID;Description
Elizabeth Corr Oral History;Salt Lake City, Utah, United States. In the Elizabeth Corr Oral History (1980), conducted by Jane Adair, this former headmistress of Rowland Hall School in Salt Lake City responds to questions regarding her experiences at this private school from the 1940s through the 1960s. 
Elizabeth Jacoway Oral History Interviews, 1976;Fayetteville, Arkansas, United States. Elizabeth Jacoway was a co-editor of Understanding the Little Rock Crisis: An Exercise in Remembrance and Reconciliation. Fayetteville, Ark.: University of Arkansas Press, 1999, and a scholar of the Little Rock desegregation crisis. The collection consists of copies of the transcriptions of interviews she conducted with Daisy Gatson Bates and Vivion Lenon Brewer, two leaders of the effort to desegregate Central High School. N.B. 
Ellery T. Cook Collection;North Birmingham, Alabama, United States. This collection contains notes, transcripts, letters and a final seminar paper resulting from an oral history project undertaken by Ellery T. Cook. Cook was a senior at Birmingham-Southern College in 1995. The project was conducted under the supervision of Dr. Edward LaMonte, Ellery's professor at Birmingham-Southern and a founding member of the BCRI Board of Directors. Cook's project focused on the perspectives of White individuals from her hometown of Montgomery who experienced the integration of public schools there. 1 Box 11/20/2003 
Ellington Project;New Haven, Connecticut, United States. The Duke Ellington Oral History is comprised of ninety-two interviews with and about Ellington, one of America's greatest composers. Included are many of the foremost artists of the century, such as Alvin Ailey, Amiri Baraka, Dave Brubeck, Sonny Greer, John Hammond, Al Hibbler, Sy Oliver, Max Roach, Billy Taylor, Randy Weston, and Mary Lou Williams. A series on Billy Strayhorn, Ellington's elusive and talented colleague, has evolved from the Ellington Project. 
Elmina Lucke Papers;"Northampton, Massachusetts, United States. Professor of social work and social studies, founder and director of the Dehli School of Social Work, consultant for social work education, and YWCA official. The Elmina Lucke papers focus on her work abroad as educator, administrator, and consultant for social work. Materials include correspondence with former students and associates in Egypt, India, and Pakistan; photographs of her travels; speeches; writings, including an unpublished memoir; and a transcript and tapes of an oral history. "
Embrey Collection Oral History Collection;Perth, Western Australia, Australia, Australia. To record information relevant to the history of the sport of softball in Australia. The collection began in 1991 and was used in preparation of the publication Batter up! The history of softball in Australia, for the Australian Softball Federation on conjunction with the Australian Sports Commission. Publication December 1995. 
Emery County, Utah Centennial Oral Histories Collection;Salt Lake City, Utah, United States. 
Empty Spaces: Plant Shutdowns and Displacement in the Industrial Heartland;Detroit, Michigan, United States. Interviews with Detroit-area auto industry workers conducted by Steven High as part of the research for his dissertation, “Empty Spaces: Divergent Responses to Industrial Transformation in North American, 1969-1984,” 1998. Available on videotape only 
End of the Line;Detroit, Michigan, United States. Richard Feldman's and Michael Betzold's interviews with UAW Local 900 members at Ford's Michigan Truck and Wayne Assembly plants for their book , End of the Line: Autoworkers and the American Dream, 1986 
Engineer Memoirs;Alexandria, Virginia, United States. 
Engineer Profiles;Alexandria, Virginia, United States. 
Environmental Protection Agency Oral History Interviews;Washington, District of Columbia, United States. The EPA historical publications provide a colorful narrative history of the U.S. Environmental Protection Agency, including its formative years. The oral histories share the insights of those who have led the Agency, and give the public an idea of how the government has managed environmental affairs. 
Environmental Studies;Fullerton, California, United States. 
Episcopal Women's History Project;Northampton, Massachusetts, United States. Page, Patricia: Episcopal Women's History Project (1997), transcript and 4 audiotapes. Religion Collection. 
Epping Forest District Museum Oral History Collection;Essex, England, United Kingdom. The Heritage Lottery Fund is funding the Museum's first Oral History project. 'Changing Perceptions' aims to collect first hand accounts of the dynamic changes that have taken place in the working and domestic lives of people in the District during the Twentieth Century. The collection will consist of 300 interviews with people in the District, covering a wide range of themes, experiences and opinions. For information on topics, progress and community involvement see below. The interviews will be collected during the next three years and will be publicly accessible. 
Era of Change: Oral Histories of Civilians in World War II Hawaii;Honolulu, Hawaii, United States. This oral history project, sponsored in part by the National Park Service, focused on individual responses to the war. The interviews with thirty-three longtime residents provide us with primary source documentation on the war as a catalyst for social change. 
Ernie St. Antoine Collection;Windsor, Ontario, Canada. Ernie St. Antoine donated a model hydroplane that he built to the Museum. Laurence Grant, curator of the Museum, interviewed him in 1991 to get background information on the hydroplane and other aspects of Mr. St. Antoine's model-building hobby, including the Detroit Model Power Boat Club. The interviewee is a local (Windsor) retired metal finisher whose hobby was making model engines, The model hydroplane donated to the museum is a 15 CC class C. Sound quality is very poor. English. Open. 
Esmont Oral Histories;Charlottesville, Virginia, United States. The Esmont Oral History project grew out of VCDH's commitment to create and distribute a rich digital history archive for African American history. The project examines the era of segregation in one community, Esmont, and explores African American politics, families, schools, businesses, churches, and other institutions to gain perspective on African American history and the culture of the segregated South. 
Esperance Bay Historical Society Oral History Collection;Esperance, Western Australia, Australia, Australia. 
Esperance Social History Oral History Collection;Perth, Western Australia, Australia, Australia. To record the social history of the Esperance region to complement published work Esperence today and yesterday, by J. Rintoul. Could be used as research thesis for Master of Arts, Murdoch University Campus. 
Esquesing Historical Society Collection;Georgetown, Ontario, Canada. Reminiscences of senior citizens about life in former Esquesing Township, County of Halton, now the town of Halton Hills, Regional Municipality of Halton. Topics include buildings, community life, newspaper publishing, the Beardmore Acton Tannery, Barber Paper Mills, John Roaf Barber, and Lucy Maud Montgomery. Places mentioned incude Halton Hills, Georgetown, Acton, Norval, and Ballinafad, Ontario. Contains references to Armenian Canadians. English. Permission to quote must be obtained from interviewee in some cases. Partial transcription (one third), 50 pages. 
Esther Thornhill Papers;Iowa City, Iowa, United States. The Esther Thornhill papers date from 1956 to 1996 and consist of 6 items. The collection includes an oral history (AC320) of Thornhill recorded by her grandson Derik Cranston in 1995, four photographs, and Thornhill's memoirs, which she wrote between 1986 and 1996. 
Ethnic Fraternal Organizations Oral History Project;Pittsburgh, Pennsylvania, United States. Ethnic Fraternal Organizations Oral History Project, 1975-1977, conducted by the University of Pittsburgh Department of History, explored the roles and influences of ethnic fraternal organizations in the Jewish, Black, Croatian, Italian, Polish and other ethnic communities in the Pittsburgh area. 
Ethnic Studies: Basque American;Fullerton, California, United States. 
Ethnic Studies: Chinese American;"Fullerton, California, United States. Chinese American Businessman recalls his early life in China, immigration to the United States and problems Asians encountered; being drafted into the U.S. Army and his experiences as a surgical technician; his later teaching experiences in China from 1935-1937; and businesses he founded and operated in California. "
Ethnic Studies: Indian Urbanization Project;Fullerton, California, United States. 
Ethnic Studies: Iranian American;Fullerton, California, United States. 
Ethnic Studies: Samoan American;Fullerton, California, United States. 
Ethnic Women in Cleveland Oral History Project;Cleveland, Ohio, United States. In 1986, Dr. Jeanette Tuve of Cleveland State University conducted a series of interviews with 29 women of eastern European birth or heritage. Many of these conversations were with women who remembered World War II or the Great Depression. 
Etobicoke Public Library Oral History Project;Etobicoke, Ontario, Canada. Material collected in 1982, as part of a summer student grant program undertaken by the Etobicoke Historical Society. Interviews were conducted with senior citizens, both men and women, including descendents of early families, persons once active in community life, etc. These citizens up in their respective communities, including school days, social activities, prevailing customs, churches, agriculture, music, sports, municipal government, and transportation. Significant developments and changes experienced over the years were also recorded, with an emphasis on the years 1900 to 1945. Places mentioned include Etobicoke, Alderwood, Eatonville, Islington, Kingway, Lambton Mills, Mimico and Weston, Ontario. English. Open. Summaries of each interview, subject index including communities within Etobicoke. Compete transcription, 289 pages. 
Etosha Oral History Project;Northern Cape Province, South Africa, South Africa. In Namibia the Oral Testimony Collection Project has collaborated closely with consultants Ute Dieckmann and James Suzman, and the head of Open Channels, Hugh Brody, in planning for and establishing the Etosha Oral History Project. Open Channels is a London-based NGO which has undertaken or assisted in similar projects in Canada and South Africa. The first component of this project involves archive research on and field work in areas in and adjacent to the Etosha National Park. The second and last component involves gathering oral history resources and mapping sites of historical importance. 
Eugene Barnett Collection;Detroit, Michigan, United States. Interview with Ben Legere about his involvement in the events at Centralia, Washington on Armistice Day, 1919, c. 1940. 
Eugene Meyer;Washington, District of Columbia, United States. The interviews give glimpses into the complexity of the Bank's evolution beginning in 1944 at the Bretton Woods Conference, where the Articles of Agreement of the World Bank and the International Monetary Fund (IMF) were negotiated. They are conducted on an institutional level, with the goal of eliciting from the participant as full and accurate an account as possible. That is, capturing firsthand accounts of important events and experiences from those who observed and participated in them and, in some instances, supplemented with personal and anecdotal material to illustrate. The Oral History Program Interview Series has recently been re-established as an ongoing and integral function of the World Bank Group Archives. 
Eugene R. Black;Washington, District of Columbia, United States. The interviews give glimpses into the complexity of the Bank's evolution beginning in 1944 at the Bretton Woods Conference, where the Articles of Agreement of the World Bank and the International Monetary Fund (IMF) were negotiated. They are conducted on an institutional level, with the goal of eliciting from the participant as full and accurate an account as possible. That is, capturing firsthand accounts of important events and experiences from those who observed and participated in them and, in some instances, supplemented with personal and anecdotal material to illustrate. The Oral History Program Interview Series has recently been re-established as an ongoing and integral function of the World Bank Group Archives. 
Eva Brook Donly Museum Collection;Simcoe, Ontario, Canada. Interviews conducted by the Museum between 1985 and 1992, mostly with senior citizens, about local history, dealing in particular with farm life, pioneer life, buildings and domestic life around Simcoe. The more recent ones were done on video. English. Open. Partial index. 
Everett L. Cooley Oral History Project, Utah Ski Archives;Salt Lake City, Utah, United States. The following interviews are part of the Everett L. Cooley Oral History Project, an ongoing collection of interviews conducted with Utahns or those with a Utah or University of Utah connection. There are several subject categories: theater, science, religion, education, and recreation. Listed here are the interviews currently available from the project that have been conducted with individuals involved in skiing. When requesting access to these interviews, please reference Accn 814. 
Everglades;Gainesville, Florida, United States. This project includes a series of interviews regarding the Florida Everglades Restoration. 
Examining the Korean War: Oral History Interviews;Forest Grove, Oregon, United States. 
Exciting Times, High Hopes Project;New York, New York, United States. Exciting Times, High Hopes: An Oral History of the American Counter-Culture during the Vietnam Era. This series of interviews was conducted by Robert D. Scott. 99 pages. 
Exit Interviews Interview Project;Atlanta, Georgia, United States. Between 1977 and 1981, the National Archives' Office of Presidential Libraries maintained a liaison office in the Old Executive Office Building, adjacent to the White House. This liaison office had a number of archival and historical missions which were designed to supplement the textual and audio-visual documentation for the Carter Presidency. One of these missions was the Exit Interview Program for members of the White House Staff. National Archives employees had conducted a similar interview project during the Nixon Administration. Between June 1978 and January 1981, liaison office staff conducted l63 exit interviews, the majority of which were recorded on audiotape, either reel-to-reel or cassette. Marie Allen, David Alsobrook, and Emily Williams Soapes conducted the majority of these interviews. Lee Johnson and Tom Soapes also interviewed some White House staffers. The interviewees included senior-level Presidential advisers as well as other members of the White House Staff. 
Exmoor Oral History Archive Collection;Taunton, England, United Kingdom. On behalf of the Dulverton and District Civic Society, Birdie Johnson has travelled throughout Exmoor with her recorder, listening to people's life stories. Whatever their profession, whether blacksmith, chambermaid, farm worker or landed gentry, Exmoor's older generation shared their lives with us. The result is over 200 hours of recording, giving a unique insight into life on the moor during the 20th century. The archive is accompanied by the book REFLECTIONS, life portraits of Exmoor, in which photographer Mark Rattenbury's intuitive photographs capture an element of the contributors' personalities. 
Experience 1989 Collection;Welland, Ontario, Canada. Interviews conducted in July 1989 by Lenora Burtulli and Erin Whelan, summer students photographing material for the museum's collection. Narratives and conversations with Lem Hogue and Santo Calaro, individuals involved in industrial and commercial occupations (including blacksmithing) in Welland during the twentieth century. English. Open. 
External Projects;Oakland, California, United States. In progress 
Ex-Wardens Oral History Collection;Minesing, Ontario, Canada. Interviews conducted in 1974. The collection was created by the County of Simcoe Ex-Wardens Association. The ex-wardens and politicians relate their memories of growing up in the area (including agriculture and farm life), their early political involvement and their experience on the County Council, emphasis is on their political experience. Contains references to Barrie, and to Canadians of English, Irish and Scottish origins. Sound quality is good. English. Open. Simcoe County Archives Inventory. Partial transcription (10 percent), 200 pages. 
Fabulous @ Forty Oral History;United States. 
Faculty of Health Sciences, History of Medicine Oral History Interviews;Hamilton, Ontario, Canada. Interviews conducted between 1978 and 1982 with persons who were instrumental in the establishment of the Faculty of Health sciences, McMaster University, and the establishment of the McMaster University Medical Centre (part of the Chedoke-McMaster Hospitals), in the late 1960s and early 1970s. English. Open. Inventory. Complete transcription, ca. 775 p. 
Faculty Wives Oral History;Madison, Wisconsin, United States. A series of interviews with women about their lives, careers, and roles as faculty wives, supported in part by a grant from the University League: 
Fairbanks Jukebox: The Interior Experience;Fairbanks, Alaska, United States. Featuring Doris Southall, James Hutchison, Rev. and Mrs. Leeroy Parham, and Howard Luke. 
Fairview Mennonite Home Seniors Oral History Project;Waterloo, Ontario, Canada. In 1979 the Multicultural History Society of Ontario provided a grant for an oral history project administered by Conrad Grebel College to interview Mennonite senior citizens living at Fairview Mennonite Home in Cambridge, Ontario. Richard Neff conducted the interviews during the summer of 1979. All 32 interviews were conducted in English. Most interviewees were asked if they had experience hosting the Mennonites who immigrated from Russia in the 1920s. They also talked about growing up Mennonite, and the customs and practices in the Mennonite community from which they came. 
Fairview Museum Oral History Collection;Salt Lake City, Utah, United States. 
Fairwater Historical Society Oral History Project;Fairwater, Wisconsin, United States. One of the challenges in telling the history of a rural community is that materials that record local events and stories are relatively rare. To preserve the experiences of the century just ended and the stories passed on by earlier generations, the Fairwater Historical Society has made an oral history project one of its priorities. 
Falklands Conflict;London, England, United Kingdom. Twenty years ago on the 2nd April 1982 Argentine Forces invaded the Falkland Islands. The British Government responded immediately by organising Operation Corporate, dispatching advanced elements of a Task Force southwards to recover the islands. South Georgia was recaptured without casualties in late April as the remainder of the Task Force assembled east of the Falkland Islands. The Sound Archive began interviewing people who took part in the Falklands Conflict in the early 1980s. 
Falklands War Roundtable;Charlottesville, Virginia, United States. Conducted by the Miller Center's Presidential Oral History Program in conjunction with the Institute of Contemporary British History, the Falklands War Roundtable captures the recollections of key participants from the Reagan administration who were involved in the Falklands crisis. 
Family Farm Oral History Project;Pullman, Washington, United States. The farm family oral history interviews conducted by Rayner Thomas in 1982 and 1984 were transferred to the Archives in late 1984. (MS 84-62). They consist of three cassette tapes. 
Family History Oral History Project;Salt Lake City, Utah, United States. 
Family Information Oral History;Springfield, Massachusetts, United States. 
Family Life and Work Experience Before 1918;London, England, United Kingdom. Pioneering collection of oral history interviews carried out under Paul Thompson at Essex University between 1970 and 1973. A quota sample of an initial 444 individuals was selected to be geographically representative of Britain, broken down by urban and rural district according to where the informants resided in 1911 (census data), and by occupation at time of interview. A further 65 interviews with middle and upper-class families were conducted later, also 7 interviews with black migrants, 3 with Irish men and women, and 6 with American men and women 
Family Planning Oral History Project;Cambridge, Massachusetts, United States. History notes : From 1973 to 1977, the Schlesinger Library carried on an oral history project, funded by two two-year grants from the Rockefeller Foundation, on the role of women in the family planning movement. All but one of the interviewees were women, and many were physicians or nurses. The project concentrated first on the birth control movement and then on abortion law reform. Summary : Collection contains tapes and transcripts of the 24 oral histories, and research materials collected by the interviewers, consisting of printed and manuscript material and photographs. The interviews discuss the family background, education, marriage, children and careers of the interviewees. 
Far North Queensland Oral History Collection;Cairns, Queensland, Australia, Australia. 
Fargo-Moorhead and World War II Oral Histories;"Moorhead, Minnesota, United States. Transcriptions of 33 interviews conducted between 1988 and 1994 with Fargo and Moorhead residents concerning the ""home front"" in this area during the Second World War. The transcripts range in size from 30 to 60 pages, and cassette tapes of the interviews are also preserved. Several interviews are of war refugees and former displaced persons who relocated to the Red River Valley region after the war. These interviews were made as part of a projected history of the war years in the Valley. "
Farm and Ranch Folks;Las Cruces, New Mexico, United States. Farm and Ranch Folks is an on-going oral history project of the New Mexico Farm and Ranch Heritage Museum (NMF&RHM). The project documents agricultural practices and the lifestyle of New Mexico's farmers and ranchers through oral history interviews. Topics covered in the interviews include family history, farm/ranch acquisitions, farm/ranch characteristics, farming/ranching activities, farm/ranch economics and management, daily life, community life, and general observations on farming/ranching and the future of agriculture. 
Farm Holiday Association Project;New York, New York, United States. Farm Holiday Association pressure on the New Deal in 1933-34, as recalled by participants, with descriptions of riots and violence, threats of a farm strike, demands for mortgage relief, and impressions of Milo Reno. The memoirs also include material dealing with the United Farmers League and other Communist-sponsored rivals of the Farm Holiday Association. 
Farmington Oral History Project;Durango, Colorado, United States. 
Federal Communications Commission Project;New York, New York, United States. A series of interviews on the Federal Communications Commission during the 1950s and early 1960s, focusing on issues, policies, and personalities. 
Federal Reserve Bank of Minneapolis Oral History Collection;Minneapolis, Minnesota, United States. In 1992, four past Minneapolis Fed presidents and the current president, Gary H. Stern, were asked to discuss the Minneapolis Fed past, present and future. 
Federated Department Stores Project;New York, New York, United States. This project comprises a series of interviews with those who built the largest department store organization in the United States, Federated Department Stores. Changes over the years in Federated's policies, methods, and objectives, changes in consumer tastes and buying habits, and the evolution of the organization are traced. There are also interviews with the family and friends of Fred Lazarus, Jr., founder and board chairman. 
Federation for American Immigration Reform Fair Oral History Project;United States. 
Felix Parry-Pisarewski Oral History Project;Civic Square, Australian Capital Territory, Australia, Australia. The Felix Parry- Pisarewski Oral History Project was named after the Polish Sydney businessman who generously donated funds to buy the recording equipment. His vision coincided with that of the founding Director's which was to record the background, settlement experiences of the two waves of migrations (World War II and Solidarity). Interviews were conducted in most States and Territories using the same questionnaire. Most of the interviews are in Polish and they vary in length from 50 minutes to several hours. 
Fellowship of Southern Churchmen, 1983-1985;Chapel Hill, North Carolina, United States. This series consists of more than 40 interviews with members of the Fellowship of Southern Churchmen (FSC), mostly conducted from 1983 to 1985. The interviewer was Dallas A. Blanchard, who received funding for the project from the Society for the Scientific Study of Religion. Interviews deal with the interviewees' participation in the FSC, and with their previous and subsequent activities. 
Few Good Women: Advancing the Cause for Women in Government;"University Park, Pennsylvania, United States. In 1969, President Richard Nixon created the Task Force on Women's Rights and Responsibilities that marked the beginning of a successful initiative to recruit and train women for upper-level governmental positions. Unfortunately, few of the women who joined the government as a result of this initiative left collections of papers for historians to review in the future. Many of the women are nearing retirement age or have retired; a few have died. Preserving the memories and reflections of these women on their careers in government service is a timely project. Their recollections, along with those of the men who were involved in the effort, will make a significant contribution to the documentation of the history of women in modern American political life. "
Fight for Equal Rights Amendments: Leaders, Strategies and Directions;Northampton, Massachusetts, United States. Interviews with 29 ERA leaders, 1983-84, by Jennifer Jackman and Tamar Raphael, transcripts and audiotapes (complete list available in the Sophia Smith Collection). 
Filer High School - Forster/VHP;Boise, Idaho, United States. 
Finlandia Society of Albuquerque Oral History;"Albuquerque, New Mexico, United States. This oral history collection consists of thirty-six (36) interviews recorded on thirty-three (33), ninety-minute cassette tapes. There are no transcripts although interview summaries written by Rev. Wargelin are included. In general, the interviews address topics including birthplace, kinship, immigration, settlement, school, family, employment, language acquisition, and the role that religion played in preserving Finnish national customs and culture abroad. Archival copies of the cassette tapes are located in the Center for Southwest Research vault; second copies for patron use are housed within the manuscript collection. "
Finnish Socialist History Project;Detroit, Michigan, United States. 
Fire Brigade Union Interviews;London, England, United Kingdom. 
Fire on the Plateau;Flagstaff, Arizona, United States. This project documents the history and impact of wildland fires. 
First Congregational Church;Springfield, Illinois, United States. Members of this Springfield church recall activities, pastors and fellow members, the fire of 1956, assistance received from Temple B'rith Sholom, and the rebuilding of the church. 
First Generation College Students;Seaside, California, United States. 
Fisheries Museum of the Atlantic Oral History Collection;Lunenburg, Nova Scotia, Canada. Interviews conducted mostly between 1982 and 1990 by Museum staff and others. Topics relate to maritime history, major categories being prohibition and rum-running, shipping, boatbuilding, and personal narratives about the fisheries, as well as disasters at sea and the local industries, mostly in Lunenburg and Lunenburg County. Contains references to the Bluenose. English. Open. Summary description of interviews. Partial transcription (32 interviews). 
Fit Person to be Removed;London, England, United Kingdom. Seventeen personal accounts of life in a mental deficiency institution from long-term residents. Many had been incarcerated under the 1913 Mental Deficiency Act as 'a fit person to be removed' from society: some simply because they had learning difficulties or they were pregnant outside marriage, another as victim of cerebral palsy. They speak out about their ways of coping with the devastating effects of institutional life and, for some, coming to terms with rejoining the wider community as a result of changing mental health and 'community care' practices. 
Five Life Histories;Honolulu, Hawaii, United States. This project focuses on the personal experiences and historical events recalled by five individuals of disparate backgrounds. The interviewees range in age from sixty-four to ninety-three and talk about their lives in Big Island plantation communities, Kula, Maui, Leeward O`ahu, central Honolulu, and Ka`a`awa, O`ahu. 
Flagstaff Public Library Oral History Project. Series 1, 1975-1977;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 2, 1975-1977;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 3, 1975-1977.;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 4, 1975-1977.;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 5, 1975-1977.;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 6, 1975-1977.;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 7, 1975-1977.;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 8, 1975-1977.;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Flagstaff Public Library Oral History Project. Series 9, 1975-1977.;Flagstaff, Arizona, United States. The Flagstaff Public Library oral history collection, a bicentennial project directed by John Irwin, then Head of Special Collections and Archives at Northern Arizona University, includes audio tapes, abstracts, and transcripts of interviews from long-time residents. Common topics include family history, Flagstaff growth and change, contributions made to the city, and general Flagstaff history. The interviews were conducted by Susan L. Rogers, Kristine Prennace, and John Irwin. 
Florence Hollis and Rosemary Reynolds Papers;"Northampton, Massachusetts, United States. Social workers and educators. Interviews of Florence Hollis, transcript (53p) and audiotape; interview of Florence Hollis and Rosemary Reynolds by Stacia Super, 6 audiotapes; interview of Florence Hollis and Rosemary Reynolds by Ann Hartman, audiotape. "
Floriculture Oral History Project;Los Angeles, California, United States. The Floriculture Oral History Project consists of sixteen interviews conducted with flower growers of the California Flower Market of Northern California and the Southern California Flower Growers, also know as the Japanese Market. These interviews examine the historical orgins of both markets and the significant role Japanese American growers played in shaping the flower industry. This collection covers a vast scope, from the modest begininings of the pioneering Issei generation to the administrative role of the Nisei generation of the 1950s. In addition, the interviews also examine the impact of World War II and evacuation on Japanese American growers as well as the current competition stemming from international growers. 
Florida Bicentennial Commission;Gainesville, Florida, United States. 
Florida Blacks;Gainesville, Florida, United States. 
Florida Business Leaders;Gainesville, Florida, United States. The 'Florida Business Leaders Oral History Collection' includes interviews with Florida business leaders, many of whom attended the University of Florida. The Collection offers insight into the Sunshine State’s business growth -- growth that these individuals have had a major role in. Areas of business and industry include banking, citrus, utilities, land development, land usage, ranching, airlines, insurance, shopping centers, education, automobile dealerships, among many other topics. Several of these interviewees are members of the Florida Council of 100, an organization that offers advice to the Governor concerning business issues and promotes the state’s economic growth -- a goal that all these leaders share. 
Florida Constitutional Revision;Gainesville, Florida, United States. 
Florida Fisher Folk;Gainesville, Florida, United States. 
Florida Folklife from the Works Progress Administration Collections, 1937-1942;"Washington, District of Columbia, United States. Florida Folklife from the WPA Collections is a multiformat ethnographic field collection documenting African-American, Arabic, Bahamian, British-American, Cuban, Greek, Italian, Minorcan, Seminole, and Slavic cultures throughout Florida. Recorded by Robert Cook, Herbert Halpert, Zora Neale Hurston, Stetson Kennedy, Alton Morris, and others in conjunction with the Florida Federal Writers' Project, the Florida Music Project, and the Joint Committee on Folk Arts of the Work Projects Administration, it features folksongs and folktales in many languages, including blues and work songs from menhaden fishing boats, railroad gangs, and turpentine camps; children's songs, dance music, and religious music of many cultures; and interviews, also known as ""life histories."" The online presentation provides access to 376 sound recordings and 106 accompanying materials, including recording logs, transcriptions, correspondence between Florida WPA workers and Library of Congress personnel, and an essay on Florida folklife by Zora Neale Hurston. A new essay by Stetson Kennedy reflects on the labor and the legacy of the WPA in Florida, and an extensive bibliography, a list of related Web sites, and a guide to the ethnic and language groups of Florida add further context to the New Deal era and to Florida culture. This online collection is made possible by the generous support of The Texaco Foundation. "
Florida Governor Oral History Program Files;"Tallahassee, Florida, United States. Governor Bob Graham inaugurated his Oral History Program on May 20, 1980 with a dinner at the Governor's Mansion honoring the late State Senator Verle A. Pope of St. Augustine. The purpose of this event and those that would follow in succeeding years was for family, friends, and contemporaries of the honored guest to record the observations on and experiences with that person for preservation in the State Archives. Distinguished guests from Florida politics, business, or academia spoke during the dinners about the honoree, and after the dinner all of the guests recorded their reminiscences at recording stations throughout the Mansion. Summary: The collection contains records relating to the four Oral History Programs between 1980 and 1984. Included are program activity files, transcripts of the dinner program and interviews, and in some cases audiotape recordings of the dinner program and interviews. The subjects for the programs were 1) Verle A. Pope, State Senator from St. Augustine, president of State Senate (1966-1968); 2) Spessard L. Holland, Governor of Florida (1941-1945) and United States Senator (1946-1971); 3) W. Glenn Terrell, Florida Supreme Court Justice (1923-1964) and Chief Justice (1929-1931; 1938-1941; 1957-1959) and 4) Nelson Poynter, owner and editor of the St. Petersburg Times. "
Florida Growth Management;"Gainesville, Florida, United States. The 'Florida Growth Management Oral History Collection' holds interviews on the topic growth management. Interviews include a UF professor of architecture and a UF graduate research professor in environmental engineering; a banker; an Assistant Secretary of the Department of the Interior; a lobbyist for land developers; political advisors -- one of whom is considered a father of growth management law in Florida; and an executive in the St. Joe Company (and also, formerly, an executive of development arms at Disney). These interviews cover a wide range of topics: growth management laws dating from the early 1970s; various comprehensive plans; the Zwick Report; water quality and beach erosion; media effect on environmental issues; planned urban communities such as Seaside and Celebration; land acquisition philosophy; various governors’ impact on growth management; taxes; and many other issues. "
Florida Highway Patrol;Gainesville, Florida, United States. 
